"","YEAR","State","CO2_emission"
"1",1980,"Alabama",61.6
"2",1981,"Alabama",58.8
"3",1982,"Alabama",47.8
"4",1983,"Alabama",49.9
"5",1984,"Alabama",54.7
"6",1985,"Alabama",62.1
"7",1986,"Alabama",61.9
"8",1987,"Alabama",61.9
"9",1988,"Alabama",61.2
"10",1989,"Alabama",64
"11",1990,"Alabama",64.2
"12",1991,"Alabama",68.2
"13",1992,"Alabama",72.9
"14",1993,"Alabama",76.5
"15",1994,"Alabama",72.8
"16",1995,"Alabama",78
"17",1996,"Alabama",83.9
"18",1997,"Alabama",81.7
"19",1998,"Alabama",80.8
"20",1999,"Alabama",81.7
"21",2000,"Alabama",85.3
"22",2001,"Alabama",79.4
"23",2002,"Alabama",79.8
"24",2003,"Alabama",82.3
"25",2004,"Alabama",80.5
"26",2005,"Alabama",84
"27",2006,"Alabama",83.7
"28",2007,"Alabama",83.8
"29",2008,"Alabama",79.5
"30",2009,"Alabama",59.5
"31",2010,"Alabama",67.8
"32",2011,"Alabama",61.4
"33",2012,"Alabama",51.6
"34",2013,"Alabama",53.3
"35",2014,"Alabama",54.3
"36",NA,"Alabama",NA
"37",1980,"Alaska",0.4
"38",1981,"Alaska",1.2
"39",1982,"Alaska",1.2
"40",1983,"Alaska",1.2
"41",1984,"Alaska",1.2
"42",1985,"Alaska",1.1
"43",1986,"Alaska",1.1
"44",1987,"Alaska",0.4
"45",1988,"Alaska",0.4
"46",1989,"Alaska",0.4
"47",1990,"Alaska",1.2
"48",1991,"Alaska",1.2
"49",1992,"Alaska",1.2
"50",1993,"Alaska",1.3
"51",1994,"Alaska",1.2
"52",1995,"Alaska",1.2
"53",1996,"Alaska",1
"54",1997,"Alaska",1.1
"55",1998,"Alaska",1.6
"56",1999,"Alaska",1.5
"57",2000,"Alaska",1.6
"58",2001,"Alaska",1.5
"59",2002,"Alaska",1.5
"60",2003,"Alaska",1.2
"61",2004,"Alaska",1.3
"62",2005,"Alaska",1.3
"63",2006,"Alaska",1.4
"64",2007,"Alaska",1.3
"65",2008,"Alaska",1.4
"66",2009,"Alaska",1.4
"67",2010,"Alaska",1.4
"68",2011,"Alaska",1.5
"69",2012,"Alaska",1.5
"70",2013,"Alaska",1.4
"71",2014,"Alaska",1.7
"72",NA,"Alaska",NA
"73",1980,"Arizona",23
"74",1981,"Arizona",30
"75",1982,"Arizona",31.6
"76",1983,"Arizona",27.7
"77",1984,"Arizona",30.5
"78",1985,"Arizona",32.1
"79",1986,"Arizona",27.8
"80",1987,"Arizona",26.6
"81",1988,"Arizona",29.1
"82",1989,"Arizona",33.2
"83",1990,"Arizona",32.3
"84",1991,"Arizona",32.7
"85",1992,"Arizona",34.8
"86",1993,"Arizona",36.7
"87",1994,"Arizona",37.9
"88",1995,"Arizona",32.4
"89",1996,"Arizona",32.4
"90",1997,"Arizona",34.9
"91",1998,"Arizona",36.5
"92",1999,"Arizona",38.1
"93",2000,"Arizona",40.9
"94",2001,"Arizona",40
"95",2002,"Arizona",38.4
"96",2003,"Arizona",38.4
"97",2004,"Arizona",40.2
"98",2005,"Arizona",40.5
"99",2006,"Arizona",40.8
"100",2007,"Arizona",41.4
"101",2008,"Arizona",43.3
"102",2009,"Arizona",39
"103",2010,"Arizona",43.2
"104",2011,"Arizona",43.4
"105",2012,"Arizona",39.7
"106",2013,"Arizona",43
"107",2014,"Arizona",42.3
"108",NA,"Arizona",NA
"109",1980,"Arkansas",3.4
"110",1981,"Arkansas",9.6
"111",1982,"Arkansas",11.8
"112",1983,"Arkansas",16.7
"113",1984,"Arkansas",15.4
"114",1985,"Arkansas",20.7
"115",1986,"Arkansas",21.1
"116",1987,"Arkansas",19.8
"117",1988,"Arkansas",20.6
"118",1989,"Arkansas",19.1
"119",1990,"Arkansas",20
"120",1991,"Arkansas",20.3
"121",1992,"Arkansas",20.8
"122",1993,"Arkansas",18.9
"123",1994,"Arkansas",21
"124",1995,"Arkansas",22.4
"125",1996,"Arkansas",24.5
"126",1997,"Arkansas",23.3
"127",1998,"Arkansas",24.1
"128",1999,"Arkansas",25.2
"129",2000,"Arkansas",25.3
"130",2001,"Arkansas",25.9
"131",2002,"Arkansas",24.1
"132",2003,"Arkansas",23.9
"133",2004,"Arkansas",25.5
"134",2005,"Arkansas",23.3
"135",2006,"Arkansas",24.3
"136",2007,"Arkansas",26
"137",2008,"Arkansas",26.3
"138",2009,"Arkansas",24.9
"139",2010,"Arkansas",27.7
"140",2011,"Arkansas",28.9
"141",2012,"Arkansas",28
"142",2013,"Arkansas",30.9
"143",2014,"Arkansas",32
"144",NA,"Arkansas",NA
"145",1980,"California",6.1
"146",1981,"California",7.2
"147",1982,"California",6.4
"148",1983,"California",3
"149",1984,"California",3.5
"150",1985,"California",4.2
"151",1986,"California",4
"152",1987,"California",4.2
"153",1988,"California",4.8
"154",1989,"California",6.2
"155",1990,"California",8
"156",1991,"California",8.5
"157",1992,"California",8.7
"158",1993,"California",8
"159",1994,"California",8
"160",1995,"California",8
"161",1996,"California",7.6
"162",1997,"California",7.8
"163",1998,"California",6.3
"164",1999,"California",6.6
"165",2000,"California",6.6
"166",2001,"California",6.4
"167",2002,"California",6.6
"168",2003,"California",6.5
"169",2004,"California",6.5
"170",2005,"California",6.4
"171",2006,"California",6.3
"172",2007,"California",6.3
"173",2008,"California",6
"174",2009,"California",4.9
"175",2010,"California",5.2
"176",2011,"California",5.2
"177",2012,"California",4.1
"178",2013,"California",3.6
"179",2014,"California",3.7
"180",NA,"California",NA
"181",1980,"Colorado",23.1
"182",1981,"Colorado",26.1
"183",1982,"Colorado",25.9
"184",1983,"Colorado",23.9
"185",1984,"Colorado",27
"186",1985,"Colorado",28.1
"187",1986,"Colorado",27.8
"188",1987,"Colorado",27.9
"189",1988,"Colorado",29.3
"190",1989,"Colorado",30.4
"191",1990,"Colorado",31.8
"192",1991,"Colorado",31.2
"193",1992,"Colorado",32
"194",1993,"Colorado",32.7
"195",1994,"Colorado",33.9
"196",1995,"Colorado",32.5
"197",1996,"Colorado",33.1
"198",1997,"Colorado",34.2
"199",1998,"Colorado",34.5
"200",1999,"Colorado",34.4
"201",2000,"Colorado",36.6
"202",2001,"Colorado",37.8
"203",2002,"Colorado",36.9
"204",2003,"Colorado",37.2
"205",2004,"Colorado",36.8
"206",2005,"Colorado",36.5
"207",2006,"Colorado",37.2
"208",2007,"Colorado",36.7
"209",2008,"Colorado",36.4
"210",2009,"Colorado",33.1
"211",2010,"Colorado",36.1
"212",2011,"Colorado",34.8
"213",2012,"Colorado",34.9
"214",2013,"Colorado",34.3
"215",2014,"Colorado",33.1
"216",NA,"Colorado",NA
"217",1980,"Connecticut",0
"218",1981,"Connecticut",0.1
"219",1982,"Connecticut",0.1
"220",1983,"Connecticut",0.1
"221",1984,"Connecticut",0.1
"222",1985,"Connecticut",2
"223",1986,"Connecticut",2
"224",1987,"Connecticut",2
"225",1988,"Connecticut",2.2
"226",1989,"Connecticut",2.2
"227",1990,"Connecticut",3.6
"228",1991,"Connecticut",3.6
"229",1992,"Connecticut",3.7
"230",1993,"Connecticut",3.5
"231",1994,"Connecticut",3.6
"232",1995,"Connecticut",3.8
"233",1996,"Connecticut",3.9
"234",1997,"Connecticut",4.2
"235",1998,"Connecticut",3.1
"236",1999,"Connecticut",1.4
"237",2000,"Connecticut",3.4
"238",2001,"Connecticut",3.8
"239",2002,"Connecticut",3.2
"240",2003,"Connecticut",4
"241",2004,"Connecticut",4.2
"242",2005,"Connecticut",4
"243",2006,"Connecticut",4.3
"244",2007,"Connecticut",3.8
"245",2008,"Connecticut",4.3
"246",2009,"Connecticut",2.5
"247",2010,"Connecticut",2.7
"248",2011,"Connecticut",0.6
"249",2012,"Connecticut",0.9
"250",2013,"Connecticut",0.7
"251",2014,"Connecticut",0.9
"252",NA,"Connecticut",NA
"253",1980,"Delaware",2.6
"254",1981,"Delaware",4.7
"255",1982,"Delaware",4.5
"256",1983,"Delaware",6.9
"257",1984,"Delaware",6.8
"258",1985,"Delaware",6.7
"259",1986,"Delaware",6.2
"260",1987,"Delaware",6.6
"261",1988,"Delaware",6.5
"262",1989,"Delaware",5.8
"263",1990,"Delaware",5.6
"264",1991,"Delaware",5.4
"265",1992,"Delaware",4.3
"266",1993,"Delaware",6
"267",1994,"Delaware",5.4
"268",1995,"Delaware",5
"269",1996,"Delaware",4.8
"270",1997,"Delaware",4.6
"271",1998,"Delaware",4.3
"272",1999,"Delaware",3.4
"273",2000,"Delaware",4.7
"274",2001,"Delaware",3.6
"275",2002,"Delaware",3.8
"276",2003,"Delaware",4.4
"277",2004,"Delaware",5.1
"278",2005,"Delaware",5.4
"279",2006,"Delaware",5.3
"280",2007,"Delaware",6
"281",2008,"Delaware",5.8
"282",2009,"Delaware",3.2
"283",2010,"Delaware",2.9
"284",2011,"Delaware",1.7
"285",2012,"Delaware",1.6
"286",2013,"Delaware",1.7
"287",2014,"Delaware",1
"288",NA,"Delaware",NA
"289",1980,"District.of.Columbia",0.3
"290",1981,"District.of.Columbia",0.2
"291",1982,"District.of.Columbia",0.3
"292",1983,"District.of.Columbia",0.3
"293",1984,"District.of.Columbia",0.2
"294",1985,"District.of.Columbia",0.3
"295",1986,"District.of.Columbia",0.1
"296",1987,"District.of.Columbia",0.2
"297",1988,"District.of.Columbia",0.1
"298",1989,"District.of.Columbia",0.1
"299",1990,"District.of.Columbia",0.2
"300",1991,"District.of.Columbia",0.2
"301",1992,"District.of.Columbia",0.1
"302",1993,"District.of.Columbia",0.1
"303",1994,"District.of.Columbia",0.1
"304",1995,"District.of.Columbia",0
"305",1996,"District.of.Columbia",0.1
"306",1997,"District.of.Columbia",0.1
"307",1998,"District.of.Columbia",0
"308",1999,"District.of.Columbia",0
"309",2000,"District.of.Columbia",0
"310",2001,"District.of.Columbia",0.1
"311",2002,"District.of.Columbia",0
"312",2003,"District.of.Columbia",0
"313",2004,"District.of.Columbia",0.1
"314",2005,"District.of.Columbia",0.1
"315",2006,"District.of.Columbia",0
"316",2007,"District.of.Columbia",0
"317",2008,"District.of.Columbia",0
"318",2009,"District.of.Columbia",0
"319",2010,"District.of.Columbia",0
"320",2011,"District.of.Columbia",0
"321",2012,"District.of.Columbia",0
"322",2013,"District.of.Columbia",0
"323",2014,"District.of.Columbia",0
"324",NA,"District.of.Columbia",NA
"325",1980,"Florida",21.1
"326",1981,"Florida",22.2
"327",1982,"Florida",22.6
"328",1983,"Florida",30
"329",1984,"Florida",35.6
"330",1985,"Florida",44.4
"331",1986,"Florida",43.2
"332",1987,"Florida",55.1
"333",1988,"Florida",57.5
"334",1989,"Florida",59.9
"335",1990,"Florida",59.7
"336",1991,"Florida",61.3
"337",1992,"Florida",61.2
"338",1993,"Florida",61.7
"339",1994,"Florida",62.6
"340",1995,"Florida",64.8
"341",1996,"Florida",70.4
"342",1997,"Florida",71
"343",1998,"Florida",70.8
"344",1999,"Florida",67.6
"345",2000,"Florida",71.8
"346",2001,"Florida",68.5
"347",2002,"Florida",67.9
"348",2003,"Florida",68.3
"349",2004,"Florida",66
"350",2005,"Florida",63.5
"351",2006,"Florida",65.8
"352",2007,"Florida",68.1
"353",2008,"Florida",65.5
"354",2009,"Florida",54.9
"355",2010,"Florida",60.2
"356",2011,"Florida",52.2
"357",2012,"Florida",45.6
"358",2013,"Florida",47.7
"359",2014,"Florida",52.7
"360",NA,"Florida",NA
"361",1980,"Georgia",48.9
"362",1981,"Georgia",51.8
"363",1982,"Georgia",50.3
"364",1983,"Georgia",54.9
"365",1984,"Georgia",64
"366",1985,"Georgia",68.2
"367",1986,"Georgia",65.1
"368",1987,"Georgia",66.8
"369",1988,"Georgia",65.8
"370",1989,"Georgia",62.7
"371",1990,"Georgia",67.3
"372",1991,"Georgia",60.6
"373",1992,"Georgia",57.8
"374",1993,"Georgia",61.8
"375",1994,"Georgia",64.7
"376",1995,"Georgia",68.3
"377",1996,"Georgia",68.3
"378",1997,"Georgia",72.5
"379",1998,"Georgia",72.5
"380",1999,"Georgia",73.9
"381",2000,"Georgia",77.4
"382",2001,"Georgia",72.9
"383",2002,"Georgia",76.2
"384",2003,"Georgia",77.3
"385",2004,"Georgia",78.8
"386",2005,"Georgia",85.1
"387",2006,"Georgia",84.3
"388",2007,"Georgia",88.3
"389",2008,"Georgia",83.7
"390",2009,"Georgia",68.3
"391",2010,"Georgia",72.5
"392",2011,"Georgia",59.9
"393",2012,"Georgia",41.1
"394",2013,"Georgia",40.2
"395",2014,"Georgia",45.6
"396",NA,"Georgia",NA
"397",1980,"Hawaii",0
"398",1981,"Hawaii",0
"399",1982,"Hawaii",0.1
"400",1983,"Hawaii",0.1
"401",1984,"Hawaii",0.1
"402",1985,"Hawaii",0.1
"403",1986,"Hawaii",0
"404",1987,"Hawaii",0.1
"405",1988,"Hawaii",0.1
"406",1989,"Hawaii",0.1
"407",1990,"Hawaii",0.1
"408",1991,"Hawaii",0.1
"409",1992,"Hawaii",0.6
"410",1993,"Hawaii",1.5
"411",1994,"Hawaii",1.5
"412",1995,"Hawaii",1.9
"413",1996,"Hawaii",1.9
"414",1997,"Hawaii",1.9
"415",1998,"Hawaii",1.7
"416",1999,"Hawaii",1.7
"417",2000,"Hawaii",1.7
"418",2001,"Hawaii",1.7
"419",2002,"Hawaii",1.6
"420",2003,"Hawaii",1.7
"421",2004,"Hawaii",1.7
"422",2005,"Hawaii",1.6
"423",2006,"Hawaii",1.5
"424",2007,"Hawaii",1.6
"425",2008,"Hawaii",1.7
"426",2009,"Hawaii",1.6
"427",2010,"Hawaii",1.6
"428",2011,"Hawaii",1.5
"429",2012,"Hawaii",1.6
"430",2013,"Hawaii",1.4
"431",2014,"Hawaii",1.6
"432",NA,"Hawaii",NA
"433",1980,"Idaho",0.9
"434",1981,"Idaho",0.9
"435",1982,"Idaho",1
"436",1983,"Idaho",0.9
"437",1984,"Idaho",0.8
"438",1985,"Idaho",0.8
"439",1986,"Idaho",0.8
"440",1987,"Idaho",0.8
"441",1988,"Idaho",0.9
"442",1989,"Idaho",0.9
"443",1990,"Idaho",1
"444",1991,"Idaho",1.2
"445",1992,"Idaho",0.9
"446",1993,"Idaho",0.9
"447",1994,"Idaho",0.9
"448",1995,"Idaho",0.8
"449",1996,"Idaho",0.7
"450",1997,"Idaho",0.6
"451",1998,"Idaho",0.8
"452",1999,"Idaho",0.8
"453",2000,"Idaho",1.3
"454",2001,"Idaho",1.1
"455",2002,"Idaho",1
"456",2003,"Idaho",1
"457",2004,"Idaho",1.2
"458",2005,"Idaho",1.1
"459",2006,"Idaho",0.8
"460",2007,"Idaho",1
"461",2008,"Idaho",0.8
"462",2009,"Idaho",0.8
"463",2010,"Idaho",0.8
"464",2011,"Idaho",0.7
"465",2012,"Idaho",0.5
"466",2013,"Idaho",0.7
"467",2014,"Idaho",0.7
"468",NA,"Idaho",NA
"469",1980,"Illinois",79
"470",1981,"Illinois",74.6
"471",1982,"Illinois",73
"472",1983,"Illinois",79.5
"473",1984,"Illinois",78.1
"474",1985,"Illinois",76.1
"475",1986,"Illinois",75.4
"476",1987,"Illinois",73.5
"477",1988,"Illinois",70
"478",1989,"Illinois",67.7
"479",1990,"Illinois",70.5
"480",1991,"Illinois",71.4
"481",1992,"Illinois",65.7
"482",1993,"Illinois",76.5
"483",1994,"Illinois",77.8
"484",1995,"Illinois",77.9
"485",1996,"Illinois",86.7
"486",1997,"Illinois",91.9
"487",1998,"Illinois",89.5
"488",1999,"Illinois",90.4
"489",2000,"Illinois",95.9
"490",2001,"Illinois",92.8
"491",2002,"Illinois",93.1
"492",2003,"Illinois",95.3
"493",2004,"Illinois",100.9
"494",2005,"Illinois",98.9
"495",2006,"Illinois",98.7
"496",2007,"Illinois",103
"497",2008,"Illinois",104.2
"498",2009,"Illinois",95.8
"499",2010,"Illinois",100.9
"500",2011,"Illinois",99.2
"501",2012,"Illinois",91.4
"502",2013,"Illinois",96.8
"503",2014,"Illinois",96
"504",NA,"Illinois",NA
"505",1980,"Indiana",107.5
"506",1981,"Indiana",107
"507",1982,"Indiana",93.9
"508",1983,"Indiana",103.1
"509",1984,"Indiana",112.9
"510",1985,"Indiana",111.6
"511",1986,"Indiana",105.8
"512",1987,"Indiana",109.2
"513",1988,"Indiana",118.7
"514",1989,"Indiana",121.2
"515",1990,"Indiana",128.1
"516",1991,"Indiana",126.1
"517",1992,"Indiana",121.3
"518",1993,"Indiana",124.1
"519",1994,"Indiana",122.1
"520",1995,"Indiana",126.6
"521",1996,"Indiana",129.4
"522",1997,"Indiana",134.1
"523",1998,"Indiana",136.4
"524",1999,"Indiana",139.2
"525",2000,"Indiana",150.2
"526",2001,"Indiana",147.6
"527",2002,"Indiana",145.5
"528",2003,"Indiana",147.6
"529",2004,"Indiana",151.7
"530",2005,"Indiana",150.2
"531",2006,"Indiana",149.6
"532",2007,"Indiana",148.2
"533",2008,"Indiana",146.9
"534",2009,"Indiana",128.6
"535",2010,"Indiana",136.5
"536",2011,"Indiana",125.5
"537",2012,"Indiana",112.3
"538",2013,"Indiana",112.8
"539",2014,"Indiana",115
"540",NA,"Indiana",NA
"541",1980,"Iowa",22
"542",1981,"Iowa",23.6
"543",1982,"Iowa",22.9
"544",1983,"Iowa",23.8
"545",1984,"Iowa",23.6
"546",1985,"Iowa",25.3
"547",1986,"Iowa",24.6
"548",1987,"Iowa",27
"549",1988,"Iowa",28.8
"550",1989,"Iowa",29.9
"551",1990,"Iowa",31.6
"552",1991,"Iowa",32.9
"553",1992,"Iowa",31.1
"554",1993,"Iowa",32.4
"555",1994,"Iowa",32.9
"556",1995,"Iowa",35.2
"557",1996,"Iowa",36.2
"558",1997,"Iowa",37
"559",1998,"Iowa",40.1
"560",1999,"Iowa",40.8
"561",2000,"Iowa",42.1
"562",2001,"Iowa",41.9
"563",2002,"Iowa",41.7
"564",2003,"Iowa",41.9
"565",2004,"Iowa",41.8
"566",2005,"Iowa",40.6
"567",2006,"Iowa",41.1
"568",2007,"Iowa",43.9
"569",2008,"Iowa",45.8
"570",2009,"Iowa",42
"571",2010,"Iowa",46.6
"572",2011,"Iowa",43.7
"573",2012,"Iowa",39.9
"574",2013,"Iowa",38
"575",2014,"Iowa",37.9
"576",NA,"Iowa",NA
"577",1980,"Kansas",18
"578",1981,"Kansas",20
"579",1982,"Kansas",20
"580",1983,"Kansas",21.7
"581",1984,"Kansas",25.8
"582",1985,"Kansas",24.4
"583",1986,"Kansas",23.7
"584",1987,"Kansas",25.1
"585",1988,"Kansas",25.3
"586",1989,"Kansas",25.2
"587",1990,"Kansas",25.6
"588",1991,"Kansas",25.3
"589",1992,"Kansas",23.9
"590",1993,"Kansas",28.5
"591",1994,"Kansas",28.4
"592",1995,"Kansas",27.3
"593",1996,"Kansas",31.9
"594",1997,"Kansas",29.4
"595",1998,"Kansas",29.2
"596",1999,"Kansas",31.1
"597",2000,"Kansas",34.3
"598",2001,"Kansas",33.5
"599",2002,"Kansas",37
"600",2003,"Kansas",36.8
"601",2004,"Kansas",36.4
"602",2005,"Kansas",35.9
"603",2006,"Kansas",34.4
"604",2007,"Kansas",37.4
"605",2008,"Kansas",35.1
"606",2009,"Kansas",33.6
"607",2010,"Kansas",34
"608",2011,"Kansas",32.7
"609",2012,"Kansas",29
"610",2013,"Kansas",30.9
"611",2014,"Kansas",29.9
"612",NA,"Kansas",NA
"613",1980,"Kentucky",60.1
"614",1981,"Kentucky",62.2
"615",1982,"Kentucky",58.8
"616",1983,"Kentucky",59.8
"617",1984,"Kentucky",62.9
"618",1985,"Kentucky",67.3
"619",1986,"Kentucky",70.4
"620",1987,"Kentucky",70.1
"621",1988,"Kentucky",77.3
"622",1989,"Kentucky",72.2
"623",1990,"Kentucky",75.7
"624",1991,"Kentucky",75.7
"625",1992,"Kentucky",76.6
"626",1993,"Kentucky",86.8
"627",1994,"Kentucky",84.5
"628",1995,"Kentucky",87.7
"629",1996,"Kentucky",89.8
"630",1997,"Kentucky",92.3
"631",1998,"Kentucky",90.5
"632",1999,"Kentucky",93.2
"633",2000,"Kentucky",94.1
"634",2001,"Kentucky",95.6
"635",2002,"Kentucky",89.7
"636",2003,"Kentucky",89
"637",2004,"Kentucky",90.7
"638",2005,"Kentucky",93.1
"639",2006,"Kentucky",96.6
"640",2007,"Kentucky",96.3
"641",2008,"Kentucky",96.7
"642",2009,"Kentucky",88.4
"643",2010,"Kentucky",95.3
"644",2011,"Kentucky",95.4
"645",2012,"Kentucky",85.9
"646",2013,"Kentucky",86.4
"647",2014,"Kentucky",86.3
"648",NA,"Kentucky",NA
"649",1980,"Louisiana",0.2
"650",1981,"Louisiana",2.2
"651",1982,"Louisiana",6
"652",1983,"Louisiana",10
"653",1984,"Louisiana",11.2
"654",1985,"Louisiana",15
"655",1986,"Louisiana",16.2
"656",1987,"Louisiana",16.2
"657",1988,"Louisiana",20
"658",1989,"Louisiana",19.5
"659",1990,"Louisiana",19.7
"660",1991,"Louisiana",20.2
"661",1992,"Louisiana",21.1
"662",1993,"Louisiana",21.1
"663",1994,"Louisiana",21.8
"664",1995,"Louisiana",20.5
"665",1996,"Louisiana",19.4
"666",1997,"Louisiana",21.3
"667",1998,"Louisiana",21.3
"668",1999,"Louisiana",21.5
"669",2000,"Louisiana",23.9
"670",2001,"Louisiana",22.7
"671",2002,"Louisiana",21.9
"672",2003,"Louisiana",23.4
"673",2004,"Louisiana",24.2
"674",2005,"Louisiana",23.9
"675",2006,"Louisiana",25
"676",2007,"Louisiana",23.6
"677",2008,"Louisiana",24.8
"678",2009,"Louisiana",23.8
"679",2010,"Louisiana",24.5
"680",2011,"Louisiana",25.5
"681",2012,"Louisiana",22.6
"682",2013,"Louisiana",21.5
"683",2014,"Louisiana",19.8
"684",NA,"Louisiana",NA
"685",1980,"Maine",0.3
"686",1981,"Maine",0.3
"687",1982,"Maine",0.6
"688",1983,"Maine",0.6
"689",1984,"Maine",0.5
"690",1985,"Maine",0.5
"691",1986,"Maine",0.9
"692",1987,"Maine",0.6
"693",1988,"Maine",0.6
"694",1989,"Maine",0.6
"695",1990,"Maine",1
"696",1991,"Maine",1.5
"697",1992,"Maine",2.6
"698",1993,"Maine",1.6
"699",1994,"Maine",1.7
"700",1995,"Maine",1
"701",1996,"Maine",0.9
"702",1997,"Maine",0.8
"703",1998,"Maine",0.7
"704",1999,"Maine",0.6
"705",2000,"Maine",0.9
"706",2001,"Maine",0.7
"707",2002,"Maine",0.8
"708",2003,"Maine",0.7
"709",2004,"Maine",0.7
"710",2005,"Maine",0.7
"711",2006,"Maine",0.6
"712",2007,"Maine",0.6
"713",2008,"Maine",0.6
"714",2009,"Maine",0.2
"715",2010,"Maine",0.2
"716",2011,"Maine",0.1
"717",2012,"Maine",0.1
"718",2013,"Maine",0.2
"719",2014,"Maine",0.2
"720",NA,"Maine",NA
"721",1980,"Maryland",21.9
"722",1981,"Maryland",19.6
"723",1982,"Maryland",20.2
"724",1983,"Maryland",21.7
"725",1984,"Maryland",25.2
"726",1985,"Maryland",24
"727",1986,"Maryland",25.8
"728",1987,"Maryland",27.1
"729",1988,"Maryland",28.3
"730",1989,"Maryland",27.8
"731",1990,"Maryland",27
"732",1991,"Maryland",25.9
"733",1992,"Maryland",23.3
"734",1993,"Maryland",24.7
"735",1994,"Maryland",25.4
"736",1995,"Maryland",27.3
"737",1996,"Maryland",27.6
"738",1997,"Maryland",27.4
"739",1998,"Maryland",28.7
"740",1999,"Maryland",28.8
"741",2000,"Maryland",29.5
"742",2001,"Maryland",30.1
"743",2002,"Maryland",30.7
"744",2003,"Maryland",31.1
"745",2004,"Maryland",30.9
"746",2005,"Maryland",31.1
"747",2006,"Maryland",30.7
"748",2007,"Maryland",31
"749",2008,"Maryland",29.2
"750",2009,"Maryland",25.2
"751",2010,"Maryland",25.1
"752",2011,"Maryland",22.8
"753",2012,"Maryland",18.2
"754",2013,"Maryland",17.3
"755",2014,"Maryland",19
"756",NA,"Maryland",NA
"757",1980,"Massachusetts",2.1
"758",1981,"Massachusetts",2.5
"759",1982,"Massachusetts",8.4
"760",1983,"Massachusetts",9.1
"761",1984,"Massachusetts",10.9
"762",1985,"Massachusetts",10.4
"763",1986,"Massachusetts",9.4
"764",1987,"Massachusetts",11.1
"765",1988,"Massachusetts",11
"766",1989,"Massachusetts",11.5
"767",1990,"Massachusetts",10.7
"768",1991,"Massachusetts",11.1
"769",1992,"Massachusetts",10.6
"770",1993,"Massachusetts",9.4
"771",1994,"Massachusetts",9.6
"772",1995,"Massachusetts",9.9
"773",1996,"Massachusetts",10.7
"774",1997,"Massachusetts",11.6
"775",1998,"Massachusetts",10.4
"776",1999,"Massachusetts",10.7
"777",2000,"Massachusetts",10.8
"778",2001,"Massachusetts",10.3
"779",2002,"Massachusetts",11.2
"780",2003,"Massachusetts",10.3
"781",2004,"Massachusetts",9.9
"782",2005,"Massachusetts",11.3
"783",2006,"Massachusetts",10.6
"784",2007,"Massachusetts",11.3
"785",2008,"Massachusetts",10.1
"786",2009,"Massachusetts",8.7
"787",2010,"Massachusetts",7.9
"788",2011,"Massachusetts",4.1
"789",2012,"Massachusetts",2.3
"790",2013,"Massachusetts",4
"791",2014,"Massachusetts",2.8
"792",NA,"Massachusetts",NA
"793",1980,"Michigan",70.8
"794",1981,"Michigan",70.7
"795",1982,"Michigan",66.5
"796",1983,"Michigan",66.1
"797",1984,"Michigan",70
"798",1985,"Michigan",73.3
"799",1986,"Michigan",76.1
"800",1987,"Michigan",78.9
"801",1988,"Michigan",78.1
"802",1989,"Michigan",74.3
"803",1990,"Michigan",74.2
"804",1991,"Michigan",72
"805",1992,"Michigan",66.7
"806",1993,"Michigan",67.5
"807",1994,"Michigan",75.5
"808",1995,"Michigan",74.2
"809",1996,"Michigan",75.1
"810",1997,"Michigan",73.7
"811",1998,"Michigan",78
"812",1999,"Michigan",78.5
"813",2000,"Michigan",75.4
"814",2001,"Michigan",74.5
"815",2002,"Michigan",69.8
"816",2003,"Michigan",70.5
"817",2004,"Michigan",73
"818",2005,"Michigan",75.4
"819",2006,"Michigan",73
"820",2007,"Michigan",75.6
"821",2008,"Michigan",75.5
"822",2009,"Michigan",69.4
"823",2010,"Michigan",70.7
"824",2011,"Michigan",65.2
"825",2012,"Michigan",58.6
"826",2013,"Michigan",62.1
"827",2014,"Michigan",58.3
"828",NA,"Michigan",NA
"829",1980,"Minnesota",22.7
"830",1981,"Minnesota",22.9
"831",1982,"Minnesota",20
"832",1983,"Minnesota",19.8
"833",1984,"Minnesota",21.7
"834",1985,"Minnesota",21.2
"835",1986,"Minnesota",18.9
"836",1987,"Minnesota",24.1
"837",1988,"Minnesota",28.6
"838",1989,"Minnesota",30.6
"839",1990,"Minnesota",30.7
"840",1991,"Minnesota",28.4
"841",1992,"Minnesota",28.3
"842",1993,"Minnesota",30.7
"843",1994,"Minnesota",31.4
"844",1995,"Minnesota",31.9
"845",1996,"Minnesota",33.5
"846",1997,"Minnesota",32.3
"847",1998,"Minnesota",33.7
"848",1999,"Minnesota",32.3
"849",2000,"Minnesota",35.3
"850",2001,"Minnesota",33.4
"851",2002,"Minnesota",34.1
"852",2003,"Minnesota",36.9
"853",2004,"Minnesota",35.8
"854",2005,"Minnesota",35.8
"855",2006,"Minnesota",35
"856",2007,"Minnesota",34.6
"857",2008,"Minnesota",33.9
"858",2009,"Minnesota",31
"859",2010,"Minnesota",29.8
"860",2011,"Minnesota",29.8
"861",2012,"Minnesota",24.3
"862",2013,"Minnesota",25.3
"863",2014,"Minnesota",29.6
"864",NA,"Minnesota",NA
"865",1980,"Mississippi",7
"866",1981,"Mississippi",7.8
"867",1982,"Mississippi",9.4
"868",1983,"Mississippi",9
"869",1984,"Mississippi",9.8
"870",1985,"Mississippi",10.3
"871",1986,"Mississippi",10.2
