DISTRICT,XBLOCK,YBLOCK
2,396217.89,138008.23
7,399950,128916
7,400530,132799
4,397577,143785
5,400656,139455
6,405848,135501
1,398857,137320
3,396256,138986
3,398011,139902
1,397328,136474
2,396310,138389
7,400216,129491
5,401764,140635
3,397424,140255
4,400595,140878
5,401238,137193
5,404105,139186
5,400594,139371
7,400278,130607
2,395892,136464
1,398891,133903
6,402357,134072
2,394548,137621
5,399627,138854
6,404296,133162
4,397997,142155
3,397430,138674
1,397963,136595
3,397969,140269
1,401338,136696
7,402554,131862
1,397228,136778
3,397228,138593
2,394625,137287
5,402835,139007
3,398437,138222
2,395954,137426
1,398508,136963
5,399352,137782
3,397863,138792
5,398529,138181
6,401905,133555
6,404691,137003
2,393040,143571
6,402965,132500
3,398054,137708
4,399353,142258
2,396660,137671
6,406466,134968
4,397103,143859
2,395824,137490
4,397103,143859
4,398054,144214
4,397264,142909
1,400436,135043
1,398476,133854
6,403894,132785
2,396382,136790
1,402017,136018
1,400790,136927
3,397745,138975
2,396697,137769
3,398397,139049
7,401251,132444
1,397228,137253
7,402007,130658
4,397823,141376
4,397823,141376
5,402309,136595
6,403638.94,135772.42
6,405705,137072
2,396457,137321
5,401996,136793
2,397115,138058
5,400937,139620
1,398099,136943
1,401135,136474
3,397870,138172
4,397633,144615
3,397961,139579
4,399852,143321
2,397115,137977
3,397228,138346
2,395767,138059
6,402965,132500
4,398728,139835
3,398099,137783
5,400594,139371
1,397833,136884
7,400863,132294
2,394345,137523
6,405836,136773
3,398122,139889
3,396441,138884
5,399886,139033
6,407311,136444
1,398185,136610
2,397216,137538
4,397747,141435
5,401393,138543
6,402248,133774
1,398098,136808
7,402258,132857
7,401280,133168
3,397068,140306
1,400686,137051
2,395375,137085
1,397919,137069
3,398010,137782
2,395858,136720
1,400233,137393
1,397745,137126
2,396522,137709
5,399886,138468
2,395682,138663
7,402760,132416
5,402210,140221
3,397049,139462
7,400366,132181
6,404809,135948
3,396671,139479
6,401542,133586
2,394449,137479
1,399010,134191
3,397863,139206
5,399695,137774
2,396310,138470
3,396370,139140
2,396964,137650
7,399218,128170
5,400954,137154
4,399071,143865
4,399420,141808
3,397961,139579
6,406058,137581
6,406246,134851
3,398010,138818
5,399695,137774
4,398248,141094
7,403074,131528
4,399884,141428
1,399078,136928
4,399271,142841
2,395521,137007
4,397884,141009
3,397241,140302
5,401182,138011
4,397623,144463
4,397902,144596
6,404182,135422
4,397904,140846
1,400474,134315
5,399182,138122
1,397654,136543
4,399959,142915
4,397904,140846
5,399759,138385
2,394055,143911
1,398185,136610
3,396163,139534
4,398356,144667
4,399995,143706
7,402242,131260
3,397116,138388
7,402258,131469
4,400463,141354
7,401535,131621
3,397655,138222
4,397825,144375
7,402326,133555
1,401135,136541
3,397162,140182
7,399216,128099
1,400790,137184
2,397002,138017
3,397892,139792
6,403748,135440
7,400432,130639
7,400133,130948
2,394449,137479
1,400233,136927
1,397394,135525
5,401639,137489
2,392607,143559
1,401170,136698
5,402061,140417
4,397868,141140
1,399886,136928
3,398127,140238
5,401980,139268
5,398946,138854
5,398825,139092
2,394550,137528
6,403107,134153
7,402258,132857
3,397424,140029
3,396832,138182
3,397564,138854
2,395317,139759
5,400656,139348
2,395664.92,137186.89
3,398101,138793
4,398601,142297
4,397243,140995
1,401668,136090
4,397612,144311
6,404789,136926
6,403516,133455
2,396168,137533
7,400997,130281
2,394066,137656
2,396523,137976
3,396749,138793
2,392058,142425
7,399950,128916
4,398166,143286
1,400088,136784
6,405791,137581
7,399763,130906
2,393818,143533
5,401265,136988
5,401907,139388
2,395858,137094
1,400871,137180
6,407313,135570
7,402886,131330
6,404426,136093
4,399347,141766
6,404893,135894
1,397609,136611
6,402607,133517
4,396542,142009
5,400770,140681
6,405392,134417
4,400638,141634
5,401568,136987
6,405392,134417
4,397163,142085
1,400233,137319
6,404426,136093
3,397768,139722
4,396537,140010
4,400573,142718
4,398165,143865
3,398186,137367
1,400435,134715
5,398640,138139
3,397228,138674
7,401141,130653
3,397843,140228
1,398508,136963
2,396029,137018
2,392423,142325
2,393427,141962
4,396974,143487
6,406683,137294
1,399886,136609
6,406407,137111
4,397293,141316
5,401050,137803
3,397044,139950
2,393039,142375
4,397102,143634
4,397162,141494
2,395458,137273
5,401770,140526
5,401755,139047
2,394630,144151
2,393462,142718
4,396327,140300
7,400157,130701
4,396739,142263
3,398225,138331
4,398974,142631
2,396457,137321
2,396372,137666
5,402141,136522
3,398477,137708
6,404623,135229
5,401740,137077
4,397884,141009
1,398405,135196
6,405082,136006
5,399759,138303
5,402151,137291
1,398834,137094
3,397829,137265
3,397162,140314
4,397823,141376
4,397163,141967
3,398044,140473
1,401147,134664
1,400790,136783
5,401437,140339
3,397370,137709
1,400846,137116
6,405144,138239
5,399526,138303
1,399119,137184
4,398437,145006
3,397610,138469
1,397497,136718
2,396523,137976
5,401560,137150
1,397835,136718
1,400931,135354
6,405387,136802
3,397609,138792
1,399759,136018
3,397228,138099
1,398099,136943
5,402606,140463
5,401747,136474
1,400384,136927
6,406058,137707
4,398210,145207
1,401542,134935
1,399622,134352
5,401227,139817
6,403737,133719
6,405899,137981
6,405126,136279
2,396217.89,138008.23
1,397922,135223
5,402085,136578
3,397928,138989
3,397129,139520
5,398698,138541
2,395288,139501
2,396456,137483
5,400594,139371
1,398357,136664
1,401212,135279
1,400436,135043
4,397293,141199
2,393070,142276
2,395521,137007
6,404459,136336
7,400444,132718
5,400246,139229
3,397564,138713
1,399886,136928
6,405964,134419
1,401140,136225
4,397475,140743
1,398099,136943
2,397115,137977
2,395858,136859
3,397826,138634
4,397594,144050
5,401416,140668
7,400478,132509
5,402326,139507
5,402187,139507
6,405237,138096
5,402325,141157
5,400777,140572
6,404459,136336
4,397674,144115
5,403024,139388
2,396412,137579
3,396544,138793
5,403024,139388
5,399489,137576
1,398532,137052
3,398030,139732
1,398764,134508
3,397655,138713
4,397509,144399
2,394049,140572
1,399210.55,134299.54
1,399622,134352
5,402240,137433
7,400709,129315
6,402357,134072
4,397326,143751
1,399489,137252
5,401978,140078
7,401280,133168
5,400541,139301
2,395175,140861
3,397229,138975
3,398006,137232
5,401860,139150
7,399277,129297
5,401734,140028
5,401372,139313
4,400741,142041
4,396537,140010
4,397242,140587
5,399887,138915
6,401605,133515
1,400541,134715
1,400436,136696
2,394826,145392
2,394685,145107
4,398708,143788
1,398053,136327
6,401821,133587
2,396456,137483
1,400436,134389
2,393102,142423
5,401469,137323
3,397174,140033
6,406139,137111
3,398116,139949
3,396942,139389
7,400301,130117
3,396747,138141
2,396028,136859
1,398750,134411
6,401207,133236
7,399075,128801
6,405592,138052
5,401707,136326
2,393039,142375
5,401348,137835
3,397122,139623
7,402258,132857
6,406505,135193
3,397904,139683
2,395597,137490
3,398099,137916
3,395984,138616
3,397921,138345
5,401553,138614
5,398597,138222
1,398868,136802
1,398990,134292
6,405552,138070
5,402375,136709
5,402736,139982
4,397804,140992
5,401560,137150
3,396748,138470
2,394550,137528
1,400928,135279
3,397920,137620
6,405836,136773
3,397612,139543
1,399140,134190
3,397832,138854
1,397610,137008
3,397610,138469
1,397329.19,137185.6
6,404253,136093
2,396217,138008
1,400790,134507
2,395660,138306
5,400965,138212
2,394546,144651
3,397174,140033
1,401135,136927
4,398366,143174
5,402158,138824
6,406361,135526
5,399695,137774
3,398043,139624
4,396976,144927
3,398099,138551
6,405964,134419
3,397497,138792
3,397526,138184
5,400929,139738
5,401878,140039
5,401734,140028
5,402158,138824
5,400139,137702
5,402835,139007
5,401734,140028
5,402823,139389
5,403023.68,138808.25
7,401893,133379
2,396523,138059
6,404081,133019
2,392944,141879
1,401177,135648
2,395708,136984
4,397825,144310
4,396958,141060
7,400591,132715
1,398508,136963
5,401852,140950
2,392607,143559
3,396009,139485
5,401615,139853
2,397115,137977
3,397863,138991
3,397965,137709
3,397833,137709
2,396001,138485
7,399283,129409
2,393427,143911
5,400246,139229
2,395281,137072
2,394491,144896
2,396578,136991
2,395857,136612
2,394546,145059
5,399074,138792
1,400332,135958
4,397823,141376
1,400088,136928
6,405786,134897
6,404600,136168
2,394461,145332
1,398185,136884
4,397119,141037
4,396837,140214
2,396310,138389
5,399489,137576
5,401822,137592
4,397817,140626
5,404105,139186
3,397979,140183
2,395670,138552
5,402326,138303
7,399283,129409
4,398275,144342
5,404105,139186
1,401013,135484
5,401410,140777
6,404370,136293
2,396306,137054
7,399075,128801
6,406074,135614
3,397294,140084
5,398698,138541
3,397162,140182
4,397633,144615
4,397586,143925
3,397162,140182
2,396029,137018
2,393113,142180
2,395767,137820
7,401535,131621
2,393070,142276
3,398554,138773
4,399826,144154
7,400730,132915
4,398993,143543
5,401645,136614
5,398858,138469
2,392230,141789
5,401583,137549
5,399991,138640
1,399886,136928
5,402556,139092
7,402641,131928
3,398437,138222
3,396326,139306
7,400278,130607
3,398238,138636
3,396370,139140
1,400384,136927
7,400972,132989
3,396577,139238
3,397209,139586
3,397843,140228
3,397564,138713
3,397564,138713
6,404997,137339
7,398906,128938
2,395953,136921
4,397868,141140
2,395767,137916
6,405702,137581
4,397779,141790
1,400134,136575
1,400686,136474
6,405565,135913
2,395438,138511
3,397430,138674
1,398315,137001
3,397965,138634
2,397171,137408
3,397700,139035
1,397965,136733
3,397979,140183
5,401469,137323
2,392668,143406
2,393473,144062
4,397497,142545
6,407251,136517
5,402150,140920
4,397769,144596
5,401498,138734
1,400637,136105
4,398758,145213
1,400437,136362
3,397430,137783
2,394829,137194
4,398556,141463
2,394449,137479
3,397745,138046
1,398621,135524
1,399996,137531
2,393221,142980
4,399637,141914
1,397826,135851
