Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Trade
Sudan,,106,49,204,293,132,65,33,128,89,182,173,95,130,61,116,63,Import
Suriname,2,,,,,,,,,,,,,7,,3,,Import
Swaziland,1,1,,,,,,,,,,,,,,,,Import
Sweden,204,165,75,64,47,78,127,50,51,57,51,191,206,52,43,45,77,Import
Switzerland,23,68,63,117,203,168,83,108,18,39,48,32,11,6,1,2,4,Import
Syria,64,28,45,69,25,35,100,20,276,193,298,368,371,361,15,,,Import
Taiwan (ROC),585,345,298,117,319,691,503,12,11,60,97,198,425,553,1088,638,120,Import
Tajikistan,,,,,,,13,7,,32,,,,3,,,8,Import
Tanzania,3,,,51,,10,12,1,,25,,78,115,88,26,20,,Import
Thailand,85,117,152,131,114,70,47,8,13,64,49,267,285,378,105,166,318,Import
Timor-Leste,,,,,,,,,,,18,,,,,,,Import
Togo,,,,,,,,,,,1,,4,,16,,,Import
Tonga,,,,,,,,,,,,,,,,5,,Import
Trinidad and Tobago,11,0,2,,,,,6,,,24,12,12,,,46,30,Import
Tunisia,,,83,1,,168,2,,3,,7,7,,38,46,7,33,Import
Turkey,1185,510,905,330,257,1113,531,692,640,732,484,770,1503,767,1556,458,437,Import
Turkmenistan,,,,18,21,,,,7,36,27,237,115,69,102,172,392,Import
UAE,247,186,222,685,1210,2170,2021,919,753,561,607,1210,1088,2241,737,1249,1278,Import
Uganda,6,,34,,36,10,5,,5,23,37,471,219,20,,5,3,Import
Ukraine,,,,,,,,,,,,,,,1,18,,Import
United Kingdom,871,1277,720,761,212,27,308,776,490,376,491,360,578,494,211,397,260,Import
United States,334,493,499,592,562,520,641,819,951,968,1101,995,1196,787,566,528,512,Import
Unknown recipient(s),,2,,0,0,,,,12,,8,6,,29,30,10,68,Import
Uruguay,4,,11,,,20,8,3,78,29,20,,,6,9,8,,Import
Uzbekistan,,8,9,,,,,,,,,,,,2,93,63,Import
Venezuela,108,103,50,15,9,21,380,774,737,358,208,594,680,1165,171,162,37,Import
Viet Nam,7,99,60,22,298,214,41,8,172,61,152,1023,733,362,1139,842,1196,Import
Yemen,158,85,593,62,254,317,38,66,40,5,258,45,38,23,6,13,4,Import
Zambia,33,,2,,,0,30,5,2,,,1,66,,,14,36,Import
Zimbabwe,3,10,,16,,25,25,,,,,,,,,,,Import
Angola,,,2,,,,,,,,,,,,,,,Export
Argentina,2,6,,,,,2,,,,,1,,,,,,Export
Australia,,43,47,44,2,49,14,18,25,72,115,143,45,54,91,83,127,Export
Austria,36,29,95,3,3,4,63,100,15,42,48,51,24,29,15,9,14,Export
Bahrain,,2,,,,,,,,,,,,,,,,Export
Belarus,293,49,63,57,19,53,43,6,224,41,159,97,65,268,68,142,81,Export
Belgium,26,37,35,15,47,159,59,19,217,243,9,111,22,55,10,11,13,Export
Bosnia-Herzegovina,,,4,,,,,,,,,14,,3,,,,Export
Botswana,,,,,,,,,,,,,4,4,,,,Export
Brazil,,,26,,46,1,44,53,92,43,151,31,33,40,41,38,109,Export
Brunei,,,,,,,,,,,,24,,,,,12,Export
Bulgaria,2,10,32,44,19,86,5,9,4,16,4,2,7,21,8,66,4,Export
Canada,74,129,178,278,278,235,236,333,238,186,244,321,339,262,247,357,127,Export
Chile,1,,1,,,,,,100,,,,,,20,,,Export
China,302,515,526,700,400,286,670,505,636,1140,1477,1274,1599,2113,1168,1764,2123,Export
Colombia,,,5,,,,,,,,,,,,,,,Export
Costa Rica,,,,,,,,,0,,,,,,,,,Export
Croatia,2,,,,,,,,,,,,,,,,,Export
Czech Republic,81,88,60,64,1,70,44,32,32,23,5,11,8,41,27,138,129,Export
Denmark,20,1,10,62,173,,9,6,17,14,8,21,33,9,17,25,25,Export
Ecuador,,,,,,,,,,,,,,,6,,,Export
Egypt,,,,,,,,,,,,,,,7,22,,Export
Eritrea,,,,,,,0,,,,,,,,,,,Export
Estonia,,,,,,,,,,,,,,,,0,,Export
Finland,12,33,34,44,34,47,137,77,79,51,60,40,102,75,91,23,66,Export
France,1114,1457,1474,1441,2324,1842,1706,2410,2007,1929,899,1766,1033,1517,1705,2080,2226,Export
Georgia,69,,69,,16,,,,,,,,,,,,7,Export
Germany (FRG),1610,895,902,1660,1121,2063,2762,3310,2378,2534,2735,1345,820,727,1762,1792,2813,Export
Ghana,,,,,,19,,,,,,,,,,,,Export
Greece,2,2,,6,22,13,23,,,,,,,,,,,Export
Hungary,,,34,,,82,,9,,,,,,41,,,,Export
India,21,2,0,4,27,19,33,23,15,27,5,3,,14,36,42,42,Export
Indonesia,,16,49,,25,8,8,,1,,,8,,,,,94,Export
Iran,0,0,3,9,1,2,75,,43,45,45,86,21,12,43,9,,Export
Ireland,,,,,,15,30,29,26,26,25,1,25,26,13,,,Export
Israel,404,469,574,444,679,510,406,544,349,737,655,572,449,432,399,694,1260,Export
Italy,208,256,478,365,263,832,541,725,422,521,529,939,753,877,700,692,802,Export
Japan,,,,,,,,40,,,,,,,,,,Export
Jordan,,,,,42,20,,13,12,28,113,,20,25,114,18,20,Export
Kazakhstan,19,12,,,5,,6,,,,,,,,,,,Export
Kyrgyzstan,,,,92,,,18,18,14,,,,,,,,,Export
Lebanon,,,45,,,,,,,,,,,,,,,Export
Libya,,,21,16,113,113,18,10,18,32,28,,,,,,,Export
Lithuania,,,3,,,,,,,,,,,,,,,Export
Luxembourg,,,,,,,,0,,,,,,,,,,Export
Malawi,1,,,,,,,,,,,,,,,,,Export
Malaysia,,,,,,,,,,0,,,,,,,,Export
Malta,,,,,10,,,,,,,,,,,5,,Export
Moldova,6,42,60,10,,18,3,19,29,20,,11,,,,,,Export
Montenegro,,,,,,,71,109,,,18,,,,,,,Export
Netherlands,284,203,233,336,218,505,1156,1209,463,486,381,540,805,348,654,474,466,Export
New Zealand,1,,1,,1,0,,,,,,,75,,,1,6,Export
North Korea,58,73,162,134,47,20,20,20,20,20,,,,,1,,,Export
Norway,3,42,88,99,64,6,17,65,118,155,159,151,172,175,164,240,150,Export
Oman,,,,,,1,,,,,,,,,,,,Export
Pakistan,3,1,9,8,9,24,4,,1,,,,,,,,1,Export
Peru,,14,,,5,,,,,,,,,,,,,Export
Philippines,,,,,,,,4,,,,,,,,,,Export
Poland,48,81,56,81,47,18,282,163,73,75,28,8,24,142,24,11,3,Export
Portugal,,,,,,,,,99,46,,0,0,,18,7,169,Export
Qatar,,,,,,,2,,,,,0,,,,,,Export
Romania,3,,,24,,3,8,32,,2,1,0,108,108,,,,Export
Russia,4503,5330,5736,5171,6284,5175,5194,5568,6265,5030,6172,8658,8317,7779,5103,5554,6432,Export
Saudi Arabia,,,,,,,18,,,,1,62,,,,,,Export
Serbia,,11,,,,,5,5,45,1,31,4,11,11,10,29,,Export
Singapore,11,,4,,65,,,,,31,24,13,76,1,2,48,46,Export
Slovakia,37,53,32,,46,,7,22,8,,,,4,1,8,6,,Export
South Africa,20,37,17,43,72,30,184,126,139,103,235,71,182,96,64,61,59,Export
South Korea,10,228,,96,73,108,158,279,109,224,197,331,218,347,163,165,534,Export
Spain,46,8,16,95,52,108,840,601,602,951,263,1429,546,728,1050,1151,483,Export
Sudan,,,,,,,,,,,,,,11,,,,Export
Sweden,361,903,165,518,297,534,390,336,454,411,661,697,480,390,347,185,249,Export
Switzerland,178,207,158,183,251,249,292,300,459,228,239,311,244,174,339,437,186,Export
Syria,,,,,,,3,,,20,20,,,,,,,Export
Taiwan,,6,0,,,,,,,16,,,2,,,4,,Export
Thailand,,,,7,7,,93,,,,,,,,,,2,Export
Turkey,19,5,26,42,28,23,82,58,97,63,72,86,143,156,188,290,277,Export
UAE,,,,,3,11,17,3,1,34,39,3,,33,5,63,12,Export
Ukraine,270,508,307,307,198,292,544,626,382,415,479,568,1492,671,640,347,528,Export
United Kingdom,1623,1377,1090,744,1206,1060,987,974,967,1050,1151,1025,899,1580,1575,1139,1393,Export
United States,7607,5694,4964,5647,6833,6790,7505,7892,6828,6927,8090,9100,9132,7647,10312,10184,9894,Export
Unknown supplier(s),11,21,21,5,6,42,2,0,35,13,28,3,20,9,25,7,21,Export
Uruguay,1,,,,,,,,,,,,,,,,,Export
Uzbekistan,,,,252,126,4,,,,209,209,209,,,,34,68,Export
Venezuela,,,,,1,,7,,3,40,,,,,,,,Export
Viet Nam,,,,,,,14,,,,,,,,,,,Export
Zimbabwe,,4,,,,,,,,,,,,,,,,Export
